#q_sq i k_sq z Re(fg) Im(fg)
1e-06 1 1e-06 -0.989401 -1.76917e+11 0
1e-06 1 1e-06 -0.944575 -3.46121e+10 0
1e-06 1 1e-06 -0.865631 -1.48811e+10 0
1e-06 1 1e-06 -0.755404 -8.68823e+09 0
1e-06 1 1e-06 -0.617876 -6.03402e+09 0
1e-06 1 1e-06 -0.458017 -4.72071e+09 0
1e-06 1 1e-06 -0.281604 -4.0517e+09 0
1e-06 1 1e-06 -0.0950125 -3.76438e+09 0
1e-06 1 1e-06 0.0950125 -3.76438e+09 0
1e-06 1 1e-06 0.281604 -4.0517e+09 0
1e-06 1 1e-06 0.458017 -4.72071e+09 0
1e-06 1 1e-06 0.617876 -6.03402e+09 0
1e-06 1 1e-06 0.755404 -8.68823e+09 0
1e-06 1 1e-06 0.865631 -1.48811e+10 0
1e-06 1 1e-06 0.944575 -3.46121e+10 0
1e-06 1 1e-06 0.989401 -1.76917e+11 0
1e-06 1 1.55052e-06 -0.989401 -1.14102e+11 0
1e-06 1 1.55052e-06 -0.944575 -2.2323e+10 0
1e-06 1 1.55052e-06 -0.865631 -9.59747e+09 0
1e-06 1 1.55052e-06 -0.755404 -5.60343e+09 0
1e-06 1 1.55052e-06 -0.617876 -3.89161e+09 0
1e-06 1 1.55052e-06 -0.458017 -3.04459e+09 0
1e-06 1 1.55052e-06 -0.281604 -2.61312e+09 0
1e-06 1 1.55052e-06 -0.0950125 -2.42781e+09 0
1e-06 1 1.55052e-06 0.0950125 -2.42781e+09 0
1e-06 1 1.55052e-06 0.281604 -2.61312e+09 0
1e-06 1 1.55052e-06 0.458017 -3.04459e+09 0
1e-06 1 1.55052e-06 0.617876 -3.89161e+09 0
1e-06 1 1.55052e-06 0.755404 -5.60343e+09 0
1e-06 1 1.55052e-06 0.865631 -9.59747e+09 0
1e-06 1 1.55052e-06 0.944575 -2.2323e+10 0
1e-06 1 1.55052e-06 0.989401 -1.14102e+11 0
1e-06 1 2.4041e-06 -0.989401 -7.35896e+10 0
1e-06 1 2.4041e-06 -0.944575 -1.43971e+10 0
1e-06 1 2.4041e-06 -0.865631 -6.18985e+09 0
1e-06 1 2.4041e-06 -0.755404 -3.6139e+09 0
1e-06 1 2.4041e-06 -0.617876 -2.50987e+09 0
1e-06 1 2.4041e-06 -0.458017 -1.96359e+09 0
1e-06 1 2.4041e-06 -0.281604 -1.68531e+09 0
1e-06 1 2.4041e-06 -0.0950125 -1.5658e+09 0
1e-06 1 2.4041e-06 0.0950125 -1.5658e+09 0
1e-06 1 2.4041e-06 0.281604 -1.68531e+09 0
1e-06 1 2.4041e-06 0.458017 -1.96359e+09 0
1e-06 1 2.4041e-06 0.617876 -2.50987e+09 0
1e-06 1 2.4041e-06 0.755404 -3.6139e+09 0
1e-06 1 2.4041e-06 0.865631 -6.18985e+09 0
1e-06 1 2.4041e-06 0.944575 -1.43971e+10 0
1e-06 1 2.4041e-06 0.989401 -7.35896e+10 0
