#q_sq i k_sq Re(fg) Im(fg)
1e-06 1 1e-06 -3.76438e+09 0
1e-06 1 1.55052e-06 -2.42781e+09 0
1e-06 1 2.4041e-06 -1.5658e+09 0
1e-06 1 3.72759e-06 -1.00984e+09 0
1e-06 1 5.77969e-06 -6.51283e+08 0
1e-06 1 8.96151e-06 -4.20031e+08 0
1e-06 1 1.3895e-05 -2.70885e+08 0
1e-06 1 2.15443e-05 -1.74695e+08 0
1e-06 1 3.34048e-05 -1.12657e+08 0
1e-06 1 5.17947e-05 -7.26454e+07 0
1e-06 1 8.03086e-05 -4.68404e+07 0
1e-06 1 0.00012452 -3.01975e+07 0
1e-06 1 0.00019307 -1.94637e+07 0
1e-06 1 0.000299358 -1.2541e+07 0
1e-06 1 0.000464159 -8.07629e+06 0
1e-06 1 0.000719686 -5.19679e+06 0
1e-06 1 0.00111588 -3.33971e+06 0
1e-06 1 0.0017302 -2.14204e+06 0
1e-06 1 0.0026827 -1.36971e+06 0
1e-06 1 0.00415956 -871738 0
1e-06 1 0.00644947 -550788 0
1e-06 1 0.01 -344118 0
1e-06 1 0.0155052 -211316 0
1e-06 1 0.024041 -126384 0
1e-06 1 0.0372759 -72640.2 0
1e-06 1 0.0577969 -39415.9 0
1e-06 1 0.0896151 -19852.9 0
1e-06 1 0.13895 -9436.01 0
1e-06 1 0.215443 -4944.08 0
1e-06 1 0.334048 -3696.04 0
1e-06 1 0.517947 -3428.96 0
1e-06 1 0.803086 -2772.64 0
1e-06 1 1.2452 -1613.95 0
1e-06 1 1.9307 -651.701 0
1e-06 1 2.99358 -207.906 0
1e-06 1 4.64159 -40.8767 0
1e-06 1 7.19686 -6.9734 0
1e-06 1 11.1588 -2.48529 0
1e-06 1 17.302 -0.349163 0
1e-06 1 26.827 -0.0350523 0
1e-06 1 41.5956 -0.00816079 0
1e-06 1 64.4947 -0.00245165 0
1e-06 1 100 -0.000781448 0
1e-06 1 155.052 -0.000325881 0
1e-06 1 240.41 -0.000111901 0
1e-06 1 372.759 -3.20173e-05 0
1e-06 1 577.969 -1.23026e-05 0
1e-06 1 896.151 -5.3187e-06 0
1e-06 1 1389.5 -1.63239e-06 0
1e-06 1 2154.43 -5.50542e-07 0
1e-06 1 3340.48 -2.12943e-07 0
1e-06 1 5179.47 -8.28757e-08 0
1e-06 1 8030.86 -3.19844e-08 0
1e-06 1 12452 -1.07782e-08 0
1e-06 1 19307 -3.82615e-09 0
1e-06 1 29935.8 -1.46266e-09 0
1e-06 1 46415.9 -5.5411e-10 0
1e-06 1 71968.6 -2.12005e-10 0
1e-06 1 111588 -8.44448e-11 0
1e-06 1 173020 -2.7375e-11 0
1e-06 1 268270 -9.57855e-12 0
1e-06 1 415956 -2.46761e-12 0
1e-06 1 644947 2.08204e-13 0
1e-06 1 1e+06 1.10935e-12 0

2.43835e-06 1 1e-06 -1.54382e+09 0
2.43835e-06 1 1.55052e-06 -9.95675e+08 0
2.43835e-06 1 2.4041e-06 -6.42152e+08 0
2.43835e-06 1 3.72759e-06 -4.14149e+08 0
2.43835e-06 1 5.77969e-06 -2.67099e+08 0
2.43835e-06 1 8.96151e-06 -1.7226e+08 0
2.43835e-06 1 1.3895e-05 -1.11093e+08 0
2.43835e-06 1 2.15443e-05 -7.16444e+07 0
2.43835e-06 1 3.34048e-05 -4.62019e+07 0
2.43835e-06 1 5.17947e-05 -2.97928e+07 0
2.43835e-06 1 8.03086e-05 -1.92098e+07 0
2.43835e-06 1 0.00012452 -1.23844e+07 0
2.43835e-06 1 0.00019307 -7.98232e+06 0
2.43835e-06 1 0.000299358 -5.14324e+06 0
2.43835e-06 1 0.000464159 -3.31219e+06 0
2.43835e-06 1 0.000719686 -2.13127e+06 0
2.43835e-06 1 0.00111588 -1.36965e+06 0
2.43835e-06 1 0.0017302 -878479 0
2.43835e-06 1 0.0026827 -561735 0
2.43835e-06 1 0.00415956 -357510 0
2.43835e-06 1 0.00644947 -225885 0
