#q_sq i k_sq z Re(w) Im(w)
1e-06 1 1e-06 -0.989401 0.132982 0
1e-06 1 1e-06 -0.944575 0.132765 0
1e-06 1 1e-06 -0.865631 0.132809 0
1e-06 1 1e-06 -0.755404 0.132705 0
1e-06 1 1e-06 -0.617876 0.132733 0
1e-06 1 1e-06 -0.458017 0.133122 0
1e-06 1 1e-06 -0.281604 0.132045 0
1e-06 1 1e-06 -0.0950125 0.131801 0
1e-06 1 1e-06 0.0950125 0.131801 0
1e-06 1 1e-06 0.281604 0.132045 0
1e-06 1 1e-06 0.458017 0.133122 0
1e-06 1 1e-06 0.617876 0.132733 0
1e-06 1 1e-06 0.755404 0.132705 0
1e-06 1 1e-06 0.865631 0.132809 0
1e-06 1 1e-06 0.944575 0.132765 0
1e-06 1 1e-06 0.989401 0.132982 0
1e-06 1 1.55052e-06 -0.989401 0.133028 0
1e-06 1 1.55052e-06 -0.944575 0.132868 0
1e-06 1 1.55052e-06 -0.865631 0.133105 0
1e-06 1 1.55052e-06 -0.755404 0.13279 0
1e-06 1 1.55052e-06 -0.617876 0.132821 0
1e-06 1 1.55052e-06 -0.458017 0.13315 0
1e-06 1 1.55052e-06 -0.281604 0.133482 0
1e-06 1 1.55052e-06 -0.0950125 0.132045 0
1e-06 1 1.55052e-06 0.0950125 0.132045 0
1e-06 1 1.55052e-06 0.281604 0.133482 0
1e-06 1 1.55052e-06 0.458017 0.13315 0
1e-06 1 1.55052e-06 0.617876 0.132821 0
1e-06 1 1.55052e-06 0.755404 0.13279 0
1e-06 1 1.55052e-06 0.865631 0.133105 0
1e-06 1 1.55052e-06 0.944575 0.132868 0
1e-06 1 1.55052e-06 0.989401 0.133028 0
1e-06 1 2.4041e-06 -0.989401 0.132934 0
1e-06 1 2.4041e-06 -0.944575 0.13298 0
1e-06 1 2.4041e-06 -0.865631 0.132932 0
1e-06 1 2.4041e-06 -0.755404 0.133206 0
1e-06 1 2.4041e-06 -0.617876 0.132965 0
1e-06 1 2.4041e-06 -0.458017 0.133024 0
1e-06 1 2.4041e-06 -0.281604 0.132899 0
1e-06 1 2.4041e-06 -0.0950125 0.132868 0
