#q_sq i k_sq Re(w) Im(w)
1e-06 0 1e-06 1.54826 0
1e-06 0 1.55052e-06 1.54826 0
1e-06 0 2.4041e-06 1.54826 0
1e-06 0 3.72759e-06 1.54826 0
1e-06 0 5.77969e-06 1.54826 0
1e-06 0 8.96151e-06 1.54826 0
1e-06 0 1.3895e-05 1.54826 0
1e-06 0 2.15443e-05 1.54826 0
1e-06 0 3.34048e-05 1.54827 0
1e-06 0 5.17947e-05 1.54827 0
1e-06 0 8.03086e-05 1.54827 0
1e-06 0 0.00012452 1.54828 0
1e-06 0 0.00019307 1.54829 0
1e-06 0 0.000299358 1.5483 0
1e-06 0 0.000464159 1.54832 0
1e-06 0 0.000719686 1.54836 0
1e-06 0 0.00111588 1.54841 0
1e-06 0 0.0017302 1.54849 0
1e-06 0 0.0026827 1.54861 0
1e-06 0 0.00415956 1.5488 0
1e-06 0 0.00644947 1.54909 0
1e-06 0 0.01 1.54953 0
1e-06 0 0.0155052 1.55017 0
1e-06 0 0.024041 1.5511 0
1e-06 0 0.0372759 1.55237 0
1e-06 0 0.0577969 1.55396 0
1e-06 0 0.0896151 1.55554 0
1e-06 0 0.13895 1.55613 0
1e-06 0 0.215443 1.55327 0
1e-06 0 0.334048 1.54211 0
1e-06 0 0.517947 1.51504 0
1e-06 0 0.803086 1.46465 0
1e-06 0 1.2452 1.39108 0
1e-06 0 1.9307 1.30722 0
1e-06 0 2.99358 1.22997 0
1e-06 0 4.64159 1.16742 0
1e-06 0 7.19686 1.11969 0
1e-06 0 11.1588 1.08446 0
1e-06 0 17.302 1.059 0
1e-06 0 26.827 1.04082 0
1e-06 0 41.5956 1.02787 0
1e-06 0 64.4947 1.0186 0
1e-06 0 100 1.01186 0
1e-06 0 155.052 1.00673 0
1e-06 0 240.41 1.00268 0
1e-06 0 372.759 0.999685 0
1e-06 0 577.969 0.997613 0
1e-06 0 896.151 0.996016 0
1e-06 0 1389.5 0.994625 0
1e-06 0 2154.43 0.993375 0
1e-06 0 3340.48 0.992248 0
1e-06 0 5179.47 0.991227 0
1e-06 0 8030.86 0.990297 0
1e-06 0 12452 0.989448 0
1e-06 0 19307 0.988669 0
1e-06 0 29935.8 0.987951 0
1e-06 0 46415.9 0.987286 0
