#q_sq i k_sq z Re(fg) Im(fg)
1e-06 11 1e-06 -0.989401 -0.000614167 0
1e-06 11 1e-06 -0.944575 -0.000614167 0
1e-06 11 1e-06 -0.865631 -0.000614167 0
1e-06 11 1e-06 -0.755404 -0.000614167 0
1e-06 11 1e-06 -0.617876 -0.000614167 0
1e-06 11 1e-06 -0.458017 -0.000614167 0
1e-06 11 1e-06 -0.281604 -0.000614167 0
1e-06 11 1e-06 -0.0950125 -0.000614167 0
1e-06 11 1e-06 0.0950125 -0.000614167 0
1e-06 11 1e-06 0.281604 -0.000614167 0
1e-06 11 1e-06 0.458017 -0.000614167 0
1e-06 11 1e-06 0.617876 -0.000614167 0
1e-06 11 1e-06 0.755404 -0.000614167 0
1e-06 11 1e-06 0.865631 -0.000614167 0
1e-06 11 1e-06 0.944575 -0.000614167 0
1e-06 11 1e-06 0.989401 -0.000614167 0
1e-06 11 1.55052e-06 -0.989401 -0.000614166 0
1e-06 11 1.55052e-06 -0.944575 -0.000614166 0
1e-06 11 1.55052e-06 -0.865631 -0.000614166 0
1e-06 11 1.55052e-06 -0.755404 -0.000614166 0
1e-06 11 1.55052e-06 -0.617876 -0.000614166 0
1e-06 11 1.55052e-06 -0.458017 -0.000614166 0
1e-06 11 1.55052e-06 -0.281604 -0.000614166 0
1e-06 11 1.55052e-06 -0.0950125 -0.000614166 0
1e-06 11 1.55052e-06 0.0950125 -0.000614166 0
1e-06 11 1.55052e-06 0.281604 -0.000614166 0
1e-06 11 1.55052e-06 0.458017 -0.000614166 0
1e-06 11 1.55052e-06 0.617876 -0.000614166 0
1e-06 11 1.55052e-06 0.755404 -0.000614166 0
1e-06 11 1.55052e-06 0.865631 -0.000614166 0
1e-06 11 1.55052e-06 0.944575 -0.000614166 0
1e-06 11 1.55052e-06 0.989401 -0.000614166 0
1e-06 11 2.4041e-06 -0.989401 -0.000614164 0
1e-06 11 2.4041e-06 -0.944575 -0.000614164 0
1e-06 11 2.4041e-06 -0.865631 -0.000614164 0
1e-06 11 2.4041e-06 -0.755404 -0.000614164 0
1e-06 11 2.4041e-06 -0.617876 -0.000614164 0
1e-06 11 2.4041e-06 -0.458017 -0.000614164 0
1e-06 11 2.4041e-06 -0.281604 -0.000614164 0
1e-06 11 2.4041e-06 -0.0950125 -0.000614164 0
1e-06 11 2.4041e-06 0.0950125 -0.000614164 0
1e-06 11 2.4041e-06 0.281604 -0.000614164 0
1e-06 11 2.4041e-06 0.458017 -0.000614164 0
1e-06 11 2.4041e-06 0.617876 -0.000614164 0
1e-06 11 2.4041e-06 0.755404 -0.000614164 0
1e-06 11 2.4041e-06 0.865631 -0.000614164 0
1e-06 11 2.4041e-06 0.944575 -0.000614164 0
1e-06 11 2.4041e-06 0.989401 -0.000614164 0
1e-06 11 3.72759e-06 -0.989401 -0.000614161 0
1e-06 11 3.72759e-06 -0.944575 -0.000614161 0
1e-06 11 3.72759e-06 -0.865631 -0.000614161 0
1e-06 11 3.72759e-06 -0.755404 -0.000614161 0
1e-06 11 3.72759e-06 -0.617876 -0.000614161 0
1e-06 11 3.72759e-06 -0.458017 -0.000614161 0
1e-06 11 3.72759e-06 -0.281604 -0.000614161 0
1e-06 11 3.72759e-06 -0.0950125 -0.000614161 0
1e-06 11 3.72759e-06 0.0950125 -0.000614161 0
1e-06 11 3.72759e-06 0.281604 -0.000614161 0
1e-06 11 3.72759e-06 0.458017 -0.000614161 0
1e-06 11 3.72759e-06 0.617876 -0.000614161 0
1e-06 11 3.72759e-06 0.755404 -0.000614161 0
1e-06 11 3.72759e-06 0.865631 -0.000614161 0
1e-06 11 3.72759e-06 0.944575 -0.000614161 0
1e-06 11 3.72759e-06 0.989401 -0.000614161 0
1e-06 11 5.77969e-06 -0.989401 -0.000614156 0
1e-06 11 5.77969e-06 -0.944575 -0.000614156 0
1e-06 11 5.77969e-06 -0.865631 -0.000614156 0
1e-06 11 5.77969e-06 -0.755404 -0.000614156 0
1e-06 11 5.77969e-06 -0.617876 -0.000614156 0
1e-06 11 5.77969e-06 -0.458017 -0.000614156 0
1e-06 11 5.77969e-06 -0.281604 -0.000614156 0
1e-06 11 5.77969e-06 -0.0950125 -0.000614156 0
1e-06 11 5.77969e-06 0.0950125 -0.000614156 0
1e-06 11 5.77969e-06 0.281604 -0.000614156 0
1e-06 11 5.77969e-06 0.458017 -0.000614156 0
1e-06 11 5.77969e-06 0.617876 -0.000614156 0
1e-06 11 5.77969e-06 0.755404 -0.000614156 0
1e-06 11 5.77969e-06 0.865631 -0.000614156 0
1e-06 11 5.77969e-06 0.944575 -0.000614156 0
1e-06 11 5.77969e-06 0.989401 -0.000614156 0
1e-06 11 8.96151e-06 -0.989401 -0.000614149 0
1e-06 11 8.96151e-06 -0.944575 -0.000614149 0
1e-06 11 8.96151e-06 -0.865631 -0.000614149 0
1e-06 11 8.96151e-06 -0.755404 -0.000614149 0
1e-06 11 8.96151e-06 -0.617876 -0.000614149 0
1e-06 11 8.96151e-06 -0.458017 -0.000614149 0
1e-06 11 8.96151e-06 -0.281604 -0.000614149 0
1e-06 11 8.96151e-06 -0.0950125 -0.000614149 0
1e-06 11 8.96151e-06 0.0950125 -0.000614149 0
1e-06 11 8.96151e-06 0.281604 -0.000614149 0
1e-06 11 8.96151e-06 0.458017 -0.000614149 0
1e-06 11 8.96151e-06 0.617876 -0.000614149 0
1e-06 11 8.96151e-06 0.755404 -0.000614149 0
1e-06 11 8.96151e-06 0.865631 -0.000614149 0
