#q_sq i k_sq Re(fg) Im(fg)
1e-06 5 1e-06 -1.79241e+10 -0
1e-06 5 1.55052e-06 -1.15601e+10 -0
1e-06 5 2.4041e-06 -7.45563e+09 -0
1e-06 5 3.72759e-06 -4.80848e+09 -0
1e-06 5 5.77969e-06 -3.1012e+09 -0
1e-06 5 8.96151e-06 -2.0001e+09 -0
1e-06 5 1.3895e-05 -1.28995e+09 -0
1e-06 5 2.15443e-05 -8.31945e+08 -0
1e-06 5 3.34048e-05 -5.36553e+08 -0
1e-06 5 5.17947e-05 -3.46042e+08 -0
1e-06 5 8.03086e-05 -2.23172e+08 -0
1e-06 5 0.00012452 -1.43927e+08 -0
1e-06 5 0.00019307 -9.28186e+07 -0
1e-06 5 0.000299358 -5.98563e+07 -0
1e-06 5 0.000464159 -3.85974e+07 -0
1e-06 5 0.000719686 -2.48866e+07 -0
1e-06 5 0.00111588 -1.60439e+07 -0
1e-06 5 0.0017302 -1.03408e+07 -0
1e-06 5 0.0026827 -6.66266e+06 -0
1e-06 5 0.00415956 -4.29054e+06 -0
1e-06 5 0.00644947 -2.76076e+06 -0
1e-06 5 0.01 -1.77431e+06 -0
1e-06 5 0.0155052 -1.13836e+06 -0
1e-06 5 0.024041 -728609 -0
1e-06 5 0.0372759 -464921 -0
1e-06 5 0.0577969 -295672 -0
1e-06 5 0.0896151 -187599 -0
1e-06 5 0.13895 -119178 -0
1e-06 5 0.215443 -76229.1 -0
1e-06 5 0.334048 -49051.5 -0
1e-06 5 0.517947 -30815.2 -0
1e-06 5 0.803086 -17638.3 -0
1e-06 5 1.2452 -9066.12 -0
1e-06 5 1.9307 -4152.8 -0
1e-06 5 2.99358 -787.305 -0
1e-06 5 4.64159 430.48 -0
1e-06 5 7.19686 215.719 -0
1e-06 5 11.1588 505.301 -0
1e-06 5 17.302 115.651 -0
1e-06 5 26.827 -90.6365 -0
1e-06 5 41.5956 -64.0414 -0
1e-06 5 64.4947 -38.6635 -0
1e-06 5 100 -24.2276 -0
1e-06 5 155.052 -13.7935 -0
1e-06 5 240.41 -7.7011 -0
1e-06 5 372.759 -4.77352 -0
1e-06 5 577.969 -2.78335 -0
1e-06 5 896.151 -1.45011 -0
1e-06 5 1389.5 -0.819512 -0
1e-06 5 2154.43 -0.467064 -0
1e-06 5 3340.48 -0.256079 -0
1e-06 5 5179.47 -0.134069 -0
1e-06 5 8030.86 -0.0638952 -0
1e-06 5 12452 -0.0308432 -0
1e-06 5 19307 -0.0144356 -0
1e-06 5 29935.8 -0.0060136 -0
1e-06 5 46415.9 -0.00209263 -0
1e-06 5 71968.6 -0.000342771 -0
1e-06 5 111588 0.000380099 -0
1e-06 5 173020 0.000331133 -0
1e-06 5 268270 0.000303887 -0
1e-06 5 415956 0.000205471 -0
1e-06 5 644947 0.000114571 -0
1e-06 5 1e+06 1.93885e-05 -0

2.43835e-06 5 1e-06 -7.3509e+09 -0
2.43835e-06 5 1.55052e-06 -4.74094e+09 -0
2.43835e-06 5 2.4041e-06 -3.05765e+09 -0
2.43835e-06 5 3.72759e-06 -1.97202e+09 -0
2.43835e-06 5 5.77969e-06 -1.27184e+09 -0
2.43835e-06 5 8.96151e-06 -8.20268e+08 -0
2.43835e-06 5 1.3895e-05 -5.29027e+08 -0
2.43835e-06 5 2.15443e-05 -3.41191e+08 -0
2.43835e-06 5 3.34048e-05 -2.20047e+08 -0
2.43835e-06 5 5.17947e-05 -1.41916e+08 -0
2.43835e-06 5 8.03086e-05 -9.15255e+07 -0
