#q_sq i k_sq z Re(w) Im(w)
1e-06 0 1e-06 -0.997264 1.54826 0
1e-06 0 1e-06 -0.985612 1.54826 0
1e-06 0 1e-06 -0.964762 1.54826 0
1e-06 0 1e-06 -0.934906 1.54826 0
1e-06 0 1e-06 -0.896321 1.54826 0
1e-06 0 1e-06 -0.849368 1.54826 0
1e-06 0 1e-06 -0.794484 1.54826 0
1e-06 0 1e-06 -0.732182 1.54826 0
1e-06 0 1e-06 -0.663044 1.54826 0
1e-06 0 1e-06 -0.587716 1.54826 0
1e-06 0 1e-06 -0.5069 1.54826 0
1e-06 0 1e-06 -0.421351 1.54826 0
1e-06 0 1e-06 -0.331869 1.54826 0
1e-06 0 1e-06 -0.239287 1.54826 0
1e-06 0 1e-06 -0.144472 1.54826 0
1e-06 0 1e-06 -0.0483077 1.54826 0
1e-06 0 1e-06 0.0483077 1.54826 0
1e-06 0 1e-06 0.144472 1.54826 0
1e-06 0 1e-06 0.239287 1.54826 0
1e-06 0 1e-06 0.331869 1.54826 0
1e-06 0 1e-06 0.421351 1.54826 0
1e-06 0 1e-06 0.5069 1.54826 0
1e-06 0 1e-06 0.587716 1.54826 0
1e-06 0 1e-06 0.663044 1.54826 0
1e-06 0 1e-06 0.732182 1.54826 0
1e-06 0 1e-06 0.794484 1.54826 0
1e-06 0 1e-06 0.849368 1.54826 0
1e-06 0 1e-06 0.896321 1.54826 0
1e-06 0 1e-06 0.934906 1.54826 0
1e-06 0 1e-06 0.964762 1.54826 0
1e-06 0 1e-06 0.985612 1.54826 0
1e-06 0 1e-06 0.997264 1.54826 0
1e-06 0 1.41873e-06 -0.997264 1.54826 0
1e-06 0 1.41873e-06 -0.985612 1.54826 0
1e-06 0 1.41873e-06 -0.964762 1.54826 0
1e-06 0 1.41873e-06 -0.934906 1.54826 0
1e-06 0 1.41873e-06 -0.896321 1.54826 0
1e-06 0 1.41873e-06 -0.849368 1.54826 0
1e-06 0 1.41873e-06 -0.794484 1.54826 0
1e-06 0 1.41873e-06 -0.732182 1.54826 0
1e-06 0 1.41873e-06 -0.663044 1.54826 0
1e-06 0 1.41873e-06 -0.587716 1.54826 0
1e-06 0 1.41873e-06 -0.5069 1.54826 0
1e-06 0 1.41873e-06 -0.421351 1.54826 0
1e-06 0 1.41873e-06 -0.331869 1.54826 0
1e-06 0 1.41873e-06 -0.239287 1.54826 0
1e-06 0 1.41873e-06 -0.144472 1.54826 0
1e-06 0 1.41873e-06 -0.0483077 1.54826 0
1e-06 0 1.41873e-06 0.0483077 1.54826 0
1e-06 0 1.41873e-06 0.144472 1.54826 0
1e-06 0 1.41873e-06 0.239287 1.54826 0
1e-06 0 1.41873e-06 0.331869 1.54826 0
1e-06 0 1.41873e-06 0.421351 1.54826 0
1e-06 0 1.41873e-06 0.5069 1.54826 0
1e-06 0 1.41873e-06 0.587716 1.54826 0
1e-06 0 1.41873e-06 0.663044 1.54826 0
1e-06 0 1.41873e-06 0.732182 1.54826 0
1e-06 0 1.41873e-06 0.794484 1.54826 0
1e-06 0 1.41873e-06 0.849368 1.54826 0
1e-06 0 1.41873e-06 0.896321 1.54826 0
1e-06 0 1.41873e-06 0.934906 1.54826 0
1e-06 0 1.41873e-06 0.964762 1.54826 0
1e-06 0 1.41873e-06 0.985612 1.54826 0
1e-06 0 1.41873e-06 0.997264 1.54826 0
1e-06 0 2.01279e-06 -0.997264 1.54826 0
1e-06 0 2.01279e-06 -0.985612 1.54826 0
1e-06 0 2.01279e-06 -0.964762 1.54826 0
1e-06 0 2.01279e-06 -0.934906 1.54826 0
1e-06 0 2.01279e-06 -0.896321 1.54826 0
1e-06 0 2.01279e-06 -0.849368 1.54826 0
1e-06 0 2.01279e-06 -0.794484 1.54826 0
1e-06 0 2.01279e-06 -0.732182 1.54826 0
1e-06 0 2.01279e-06 -0.663044 1.54826 0
1e-06 0 2.01279e-06 -0.587716 1.54826 0
1e-06 0 2.01279e-06 -0.5069 1.54826 0
1e-06 0 2.01279e-06 -0.421351 1.54826 0
1e-06 0 2.01279e-06 -0.331869 1.54826 0
1e-06 0 2.01279e-06 -0.239287 1.54826 0
1e-06 0 2.01279e-06 -0.144472 1.54826 0
1e-06 0 2.01279e-06 -0.0483077 1.54826 0
1e-06 0 2.01279e-06 0.0483077 1.54826 0
1e-06 0 2.01279e-06 0.144472 1.54826 0
1e-06 0 2.01279e-06 0.239287 1.54826 0
1e-06 0 2.01279e-06 0.331869 1.54826 0
1e-06 0 2.01279e-06 0.421351 1.54826 0
1e-06 0 2.01279e-06 0.5069 1.54826 0
1e-06 0 2.01279e-06 0.587716 1.54826 0
1e-06 0 2.01279e-06 0.663044 1.54826 0
1e-06 0 2.01279e-06 0.732182 1.54826 0
1e-06 0 2.01279e-06 0.794484 1.54826 0
1e-06 0 2.01279e-06 0.849368 1.54826 0
1e-06 0 2.01279e-06 0.896321 1.54826 0
1e-06 0 2.01279e-06 0.934906 1.54826 0
1e-06 0 2.01279e-06 0.964762 1.54826 0
1e-06 0 2.01279e-06 0.985612 1.54826 0
1e-06 0 2.01279e-06 0.997264 1.54826 0
1e-06 0 2.85559e-06 -0.997264 1.54826 0
1e-06 0 2.85559e-06 -0.985612 1.54826 0
1e-06 0 2.85559e-06 -0.964762 1.54826 0
1e-06 0 2.85559e-06 -0.934906 1.54826 0
1e-06 0 2.85559e-06 -0.896321 1.54826 0
1e-06 0 2.85559e-06 -0.849368 1.54826 0
1e-06 0 2.85559e-06 -0.794484 1.54826 0
1e-06 0 2.85559e-06 -0.732182 1.54826 0
1e-06 0 2.85559e-06 -0.663044 1.54826 0
1e-06 0 2.85559e-06 -0.587716 1.54826 0
1e-06 0 2.85559e-06 -0.5069 1.54826 0
1e-06 0 2.85559e-06 -0.421351 1.54826 0
1e-06 0 2.85559e-06 -0.331869 1.54826 0
1e-06 0 2.85559e-06 -0.239287 1.54826 0
1e-06 0 2.85559e-06 -0.144472 1.54826 0
1e-06 0 2.85559e-06 -0.0483077 1.54826 0
1e-06 0 2.85559e-06 0.0483077 1.54826 0
1e-06 0 2.85559e-06 0.144472 1.54826 0
1e-06 0 2.85559e-06 0.239287 1.54826 0
1e-06 0 2.85559e-06 0.331869 1.54826 0
1e-06 0 2.85559e-06 0.421351 1.54826 0
1e-06 0 2.85559e-06 0.5069 1.54826 0
1e-06 0 2.85559e-06 0.587716 1.54826 0
1e-06 0 2.85559e-06 0.663044 1.54826 0
1e-06 0 2.85559e-06 0.732182 1.54826 0
1e-06 0 2.85559e-06 0.794484 1.54826 0
1e-06 0 2.85559e-06 0.849368 1.54826 0
1e-06 0 2.85559e-06 0.896321 1.54826 0
1e-06 0 2.85559e-06 0.934906 1.54826 0
1e-06 0 2.85559e-06 0.964762 1.54826 0
1e-06 0 2.85559e-06 0.985612 1.54826 0
1e-06 0 2.85559e-06 0.997264 1.54826 0
1e-06 0 4.0513e-06 -0.997264 1.54826 0
1e-06 0 4.0513e-06 -0.985612 1.54826 0
1e-06 0 4.0513e-06 -0.964762 1.54826 0
1e-06 0 4.0513e-06 -0.934906 1.54826 0
1e-06 0 4.0513e-06 -0.896321 1.54826 0
1e-06 0 4.0513e-06 -0.849368 1.54826 0
1e-06 0 4.0513e-06 -0.794484 1.54826 0
1e-06 0 4.0513e-06 -0.732182 1.54826 0
1e-06 0 4.0513e-06 -0.663044 1.54826 0
1e-06 0 4.0513e-06 -0.587716 1.54826 0
1e-06 0 4.0513e-06 -0.5069 1.54826 0
1e-06 0 4.0513e-06 -0.421351 1.54826 0
1e-06 0 4.0513e-06 -0.331869 1.54826 0
1e-06 0 4.0513e-06 -0.239287 1.54826 0
1e-06 0 4.0513e-06 -0.144472 1.54826 0
1e-06 0 4.0513e-06 -0.0483077 1.54826 0
1e-06 0 4.0513e-06 0.0483077 1.54826 0
1e-06 0 4.0513e-06 0.144472 1.54826 0
1e-06 0 4.0513e-06 0.239287 1.54826 0
