#q_sq i k_sq Re(w) Im(w)
1e-06 1 1e-06 0.131801 0
1e-06 1 1.55052e-06 0.132045 0
1e-06 1 2.4041e-06 0.132868 0
1e-06 1 3.72759e-06 0.1328 0
1e-06 1 5.77969e-06 0.133072 0
1e-06 1 8.96151e-06 0.131922 0
1e-06 1 1.3895e-05 0.133013 0
1e-06 1 2.15443e-05 0.133548 0
1e-06 1 3.34048e-05 0.130641 0
1e-06 1 5.17947e-05 0.135545 0
1e-06 1 8.03086e-05 0.131463 0
1e-06 1 0.00012452 0.13176 0
1e-06 1 0.00019307 0.134925 0
1e-06 1 0.000299358 0.131532 0
1e-06 1 0.000464159 0.1284 0
1e-06 1 0.000719686 0.13635 0
1e-06 1 0.00111588 0.133318 0
1e-06 1 0.0017302 0.130308 0
1e-06 1 0.0026827 0.127173 0
1e-06 1 0.00415956 0.123702 0
1e-06 1 0.00644947 0.129537 0
1e-06 1 0.01 0.123556 0
1e-06 1 0.0155052 0.115513 0
1e-06 1 0.024041 0.104323 0
1e-06 1 0.0372759 0.0884867 0
1e-06 1 0.0577969 0.0660725 0
1e-06 1 0.0896151 0.0349115 0
1e-06 1 0.13895 -0.00666415 0
1e-06 1 0.215443 -0.058044 0
1e-06 1 0.334048 -0.11324 0
1e-06 1 0.517947 -0.157958 0
1e-06 1 0.803086 -0.172561 0
1e-06 1 1.2452 -0.151314 0
1e-06 1 1.9307 -0.0970688 0
1e-06 1 2.99358 -0.0527587 0
1e-06 1 4.64159 -0.026509 0
1e-06 1 7.19686 -0.0128186 0
1e-06 1 11.1588 -0.00604514 0
1e-06 1 17.302 -0.00280851 0
1e-06 1 26.827 -0.00129721 0
1e-06 1 41.5956 -0.00060052 0
1e-06 1 64.4947 -0.000280605 0
1e-06 1 100 -0.000134434 0
1e-06 1 155.052 -6.83809e-05 0
1e-06 1 240.41 -3.27801e-05 0
1e-06 1 372.759 -1.48445e-05 0
1e-06 1 577.969 -6.9377e-06 0
1e-06 1 896.151 -3.76268e-06 0
1e-06 1 1389.5 -2.17744e-06 0
1e-06 1 2154.43 -1.24608e-06 0
1e-06 1 3340.48 -7.30385e-07 0
1e-06 1 5179.47 -4.29994e-07 0
1e-06 1 8030.86 -2.50049e-07 0
1e-06 1 12452 -1.48629e-07 0
1e-06 1 19307 -8.86924e-08 0
1e-06 1 29935.8 -5.23609e-08 0
1e-06 1 46415.9 -3.14881e-08 0
1e-06 1 71968.6 -1.8749e-08 0
1e-06 1 111588 -1.13496e-08 0
1e-06 1 173020 -6.80908e-09 0
1e-06 1 268270 -4.15001e-09 0
1e-06 1 415956 -2.48954e-09 0
1e-06 1 644947 -1.52562e-09 0
1e-06 1 1e+06 -9.23425e-10 0

2.43835e-06 1 1e-06 0.13435 0
2.43835e-06 1 1.55052e-06 0.133556 0
2.43835e-06 1 2.4041e-06 0.13293 0
2.43835e-06 1 3.72759e-06 0.133296 0
2.43835e-06 1 5.77969e-06 0.133319 0
2.43835e-06 1 8.96151e-06 0.132896 0
2.43835e-06 1 1.3895e-05 0.133035 0
2.43835e-06 1 2.15443e-05 0.131785 0
2.43835e-06 1 3.34048e-05 0.132864 0
2.43835e-06 1 5.17947e-05 0.134625 0
2.43835e-06 1 8.03086e-05 0.130885 0
2.43835e-06 1 0.00012452 0.133047 0
2.43835e-06 1 0.00019307 0.134678 0
2.43835e-06 1 0.000299358 0.131377 0
2.43835e-06 1 0.000464159 0.128302 0
2.43835e-06 1 0.000719686 0.136282 0
2.43835e-06 1 0.00111588 0.133275 0
2.43835e-06 1 0.0017302 0.130281 0
2.43835e-06 1 0.0026827 0.127156 0
2.43835e-06 1 0.00415956 0.123692 0
2.43835e-06 1 0.00644947 0.129529 0
2.43835e-06 1 0.01 0.123552 0
2.43835e-06 1 0.0155052 0.115511 0
2.43835e-06 1 0.024041 0.104321 0
2.43835e-06 1 0.0372759 0.0884858 0
2.43835e-06 1 0.0577969 0.0660721 0
2.43835e-06 1 0.0896151 0.0349114 0
2.43835e-06 1 0.13895 -0.00666414 0
2.43835e-06 1 0.215443 -0.0580439 0
2.43835e-06 1 0.334048 -0.11324 0
2.43835e-06 1 0.517947 -0.157957 0
2.43835e-06 1 0.803086 -0.172561 0
2.43835e-06 1 1.2452 -0.151314 0
2.43835e-06 1 1.9307 -0.0970688 0
2.43835e-06 1 2.99358 -0.0527587 0
2.43835e-06 1 4.64159 -0.026509 0
2.43835e-06 1 7.19686 -0.0128186 0
2.43835e-06 1 11.1588 -0.00604514 0
2.43835e-06 1 17.302 -0.00280851 0
2.43835e-06 1 26.827 -0.00129721 0
2.43835e-06 1 41.5956 -0.00060052 0
2.43835e-06 1 64.4947 -0.000280605 0
2.43835e-06 1 100 -0.000134434 0
2.43835e-06 1 155.052 -6.83809e-05 0
2.43835e-06 1 240.41 -3.27801e-05 0
2.43835e-06 1 372.759 -1.48445e-05 0
