#q_sq i k_sq z Re(fg) Im(fg)
1e-06 2 1e-06 -0.989401 -0.0852662 0
1e-06 2 1e-06 -0.944575 -0.0852662 0
1e-06 2 1e-06 -0.865631 -0.0852662 0
1e-06 2 1e-06 -0.755404 -0.0852662 0
1e-06 2 1e-06 -0.617876 -0.0852662 0
1e-06 2 1e-06 -0.458017 -0.0852662 0
1e-06 2 1e-06 -0.281604 -0.0852662 0
1e-06 2 1e-06 -0.0950125 -0.0852662 0
1e-06 2 1e-06 0.0950125 -0.0852662 0
1e-06 2 1e-06 0.281604 -0.0852662 0
1e-06 2 1e-06 0.458017 -0.0852662 0
1e-06 2 1e-06 0.617876 -0.0852662 0
1e-06 2 1e-06 0.755404 -0.0852662 0
1e-06 2 1e-06 0.865631 -0.0852662 0
1e-06 2 1e-06 0.944575 -0.0852662 0
1e-06 2 1e-06 0.989401 -0.0852662 0
1e-06 2 1.55052e-06 -0.989401 -0.0852657 0
1e-06 2 1.55052e-06 -0.944575 -0.0852657 0
1e-06 2 1.55052e-06 -0.865631 -0.0852657 0
1e-06 2 1.55052e-06 -0.755404 -0.0852657 0
1e-06 2 1.55052e-06 -0.617876 -0.0852657 0
1e-06 2 1.55052e-06 -0.458017 -0.0852657 0
1e-06 2 1.55052e-06 -0.281604 -0.0852657 0
1e-06 2 1.55052e-06 -0.0950125 -0.0852657 0
1e-06 2 1.55052e-06 0.0950125 -0.0852657 0
1e-06 2 1.55052e-06 0.281604 -0.0852657 0
1e-06 2 1.55052e-06 0.458017 -0.0852657 0
1e-06 2 1.55052e-06 0.617876 -0.0852657 0
1e-06 2 1.55052e-06 0.755404 -0.0852657 0
1e-06 2 1.55052e-06 0.865631 -0.0852657 0
1e-06 2 1.55052e-06 0.944575 -0.0852657 0
1e-06 2 1.55052e-06 0.989401 -0.0852657 0
1e-06 2 2.4041e-06 -0.989401 -0.0852651 0
1e-06 2 2.4041e-06 -0.944575 -0.0852651 0
1e-06 2 2.4041e-06 -0.865631 -0.0852651 0
1e-06 2 2.4041e-06 -0.755404 -0.0852651 0
1e-06 2 2.4041e-06 -0.617876 -0.085265 0
1e-06 2 2.4041e-06 -0.458017 -0.085265 0
1e-06 2 2.4041e-06 -0.281604 -0.085265 0
1e-06 2 2.4041e-06 -0.0950125 -0.085265 0
1e-06 2 2.4041e-06 0.0950125 -0.085265 0
1e-06 2 2.4041e-06 0.281604 -0.085265 0
1e-06 2 2.4041e-06 0.458017 -0.085265 0
1e-06 2 2.4041e-06 0.617876 -0.085265 0
