#q_sq i k_sq Re(fg) Im(fg)
1e-06 4 1e-06 19150.3 -0
1e-06 4 1.55052e-06 19150.3 -0
1e-06 4 2.4041e-06 19150.3 -0
1e-06 4 3.72759e-06 19150.3 -0
1e-06 4 5.77969e-06 19150.3 -0
1e-06 4 8.96151e-06 19150.2 -0
1e-06 4 1.3895e-05 19150.2 -0
1e-06 4 2.15443e-05 19150.2 -0
1e-06 4 3.34048e-05 19150.1 -0
1e-06 4 5.17947e-05 19150 -0
1e-06 4 8.03086e-05 19149.8 -0
1e-06 4 0.00012452 19149.5 -0
1e-06 4 0.00019307 19149.1 -0
1e-06 4 0.000299358 19148.4 -0
1e-06 4 0.000464159 19147.4 -0
1e-06 4 0.000719686 19145.8 -0
1e-06 4 0.00111588 19143.3 -0
1e-06 4 0.0017302 19139.4 -0
1e-06 4 0.0026827 19133.2 -0
1e-06 4 0.00415956 19123.2 -0
1e-06 4 0.00644947 19107.1 -0
1e-06 4 0.01 19080.5 -0
1e-06 4 0.0155052 19035.5 -0
1e-06 4 0.024041 18957.1 -0
1e-06 4 0.0372759 18816.2 -0
1e-06 4 0.0577969 18556.9 -0
1e-06 4 0.0896151 18074 -0
1e-06 4 0.13895 17184.9 -0
1e-06 4 0.215443 15617.9 -0
1e-06 4 0.334048 13085.2 -0
1e-06 4 0.517947 9538.65 -0
1e-06 4 0.803086 5560.74 -0
1e-06 4 1.2452 2348.32 -0
1e-06 4 1.9307 675.729 -0
1e-06 4 2.99358 149.422 -0
1e-06 4 4.64159 38.4527 -0
1e-06 4 7.19686 11.4049 -0
1e-06 4 11.1588 5.22626 -0
1e-06 4 17.302 1.78669 -0
1e-06 4 26.827 0.648208 -0
1e-06 4 41.5956 0.321703 -0
1e-06 4 64.4947 0.172237 -0
1e-06 4 100 0.0944708 -0
1e-06 4 155.052 0.0547742 -0
1e-06 4 240.41 0.0322011 -0
1e-06 4 372.759 0.0186165 -0
1e-06 4 577.969 0.0110235 -0
1e-06 4 896.151 0.00671508 -0
1e-06 4 1389.5 0.00401313 -0
1e-06 4 2154.43 0.00238222 -0
1e-06 4 3340.48 0.00142741 -0
1e-06 4 5179.47 0.00086469 -0
1e-06 4 8030.86 0.000527663 -0
1e-06 4 12452 0.000319804 -0
1e-06 4 19307 0.000193238 -0
1e-06 4 29935.8 0.000117075 -0
1e-06 4 46415.9 7.10765e-05 -0
1e-06 4 71968.6 4.3226e-05 -0
1e-06 4 111588 2.62341e-05 -0
1e-06 4 173020 1.56443e-05 -0
1e-06 4 268270 9.19318e-06 -0
1e-06 4 415956 5.21976e-06 -0
1e-06 4 644947 2.76353e-06 -0
1e-06 4 1e+06 1.28509e-06 -0

2.43835e-06 4 1e-06 7854 -0
2.43835e-06 4 1.55052e-06 7854 -0
2.43835e-06 4 2.4041e-06 7854 -0
2.43835e-06 4 3.72759e-06 7853.99 -0
2.43835e-06 4 5.77969e-06 7853.99 -0
2.43835e-06 4 8.96151e-06 7853.98 -0
2.43835e-06 4 1.3895e-05 7853.97 -0
2.43835e-06 4 2.15443e-05 7853.95 -0
2.43835e-06 4 3.34048e-05 7853.92 -0
2.43835e-06 4 5.17947e-05 7853.87 -0
2.43835e-06 4 8.03086e-05 7853.8 -0
2.43835e-06 4 0.00012452 7853.69 -0
2.43835e-06 4 0.00019307 7853.51 -0
2.43835e-06 4 0.000299358 7853.24 -0
2.43835e-06 4 0.000464159 7852.82 -0
