#q_sq i k_sq z Re(w) Im(w)
1e-06 2 1e-06 -0.989401 -1.04812 0
1e-06 2 1e-06 -0.944575 -1.04812 0
1e-06 2 1e-06 -0.865631 -1.04812 0
1e-06 2 1e-06 -0.755404 -1.04812 0
1e-06 2 1e-06 -0.617876 -1.04812 0
1e-06 2 1e-06 -0.458017 -1.04812 0
1e-06 2 1e-06 -0.281604 -1.04812 0
1e-06 2 1e-06 -0.0950125 -1.04812 0
1e-06 2 1e-06 0.0950125 -1.04812 0
1e-06 2 1e-06 0.281604 -1.04812 0
1e-06 2 1e-06 0.458017 -1.04812 0
1e-06 2 1e-06 0.617876 -1.04812 0
1e-06 2 1e-06 0.755404 -1.04812 0
1e-06 2 1e-06 0.865631 -1.04812 0
1e-06 2 1e-06 0.944575 -1.04812 0
1e-06 2 1e-06 0.989401 -1.04812 0
1e-06 2 1.55052e-06 -0.989401 -1.04812 0
1e-06 2 1.55052e-06 -0.944575 -1.04812 0
1e-06 2 1.55052e-06 -0.865631 -1.04812 0
1e-06 2 1.55052e-06 -0.755404 -1.04812 0
1e-06 2 1.55052e-06 -0.617876 -1.04812 0
1e-06 2 1.55052e-06 -0.458017 -1.04812 0
1e-06 2 1.55052e-06 -0.281604 -1.04812 0
1e-06 2 1.55052e-06 -0.0950125 -1.04812 0
1e-06 2 1.55052e-06 0.0950125 -1.04812 0
1e-06 2 1.55052e-06 0.281604 -1.04812 0
1e-06 2 1.55052e-06 0.458017 -1.04812 0
1e-06 2 1.55052e-06 0.617876 -1.04812 0
1e-06 2 1.55052e-06 0.755404 -1.04812 0
1e-06 2 1.55052e-06 0.865631 -1.04812 0
1e-06 2 1.55052e-06 0.944575 -1.04812 0
1e-06 2 1.55052e-06 0.989401 -1.04812 0
1e-06 2 2.4041e-06 -0.989401 -1.04812 0
1e-06 2 2.4041e-06 -0.944575 -1.04812 0
1e-06 2 2.4041e-06 -0.865631 -1.04812 0
1e-06 2 2.4041e-06 -0.755404 -1.04812 0
1e-06 2 2.4041e-06 -0.617876 -1.04812 0
1e-06 2 2.4041e-06 -0.458017 -1.04812 0
1e-06 2 2.4041e-06 -0.281604 -1.04812 0
1e-06 2 2.4041e-06 -0.0950125 -1.04812 0
1e-06 2 2.4041e-06 0.0950125 -1.04812 0
1e-06 2 2.4041e-06 0.281604 -1.04812 0
1e-06 2 2.4041e-06 0.458017 -1.04812 0
1e-06 2 2.4041e-06 0.617876 -1.04812 0
1e-06 2 2.4041e-06 0.755404 -1.04812 0
1e-06 2 2.4041e-06 0.865631 -1.04812 0
1e-06 2 2.4041e-06 0.944575 -1.04812 0
1e-06 2 2.4041e-06 0.989401 -1.04812 0
1e-06 2 3.72759e-06 -0.989401 -1.04812 0
1e-06 2 3.72759e-06 -0.944575 -1.04812 0
1e-06 2 3.72759e-06 -0.865631 -1.04812 0
1e-06 2 3.72759e-06 -0.755404 -1.04812 0
1e-06 2 3.72759e-06 -0.617876 -1.04812 0
1e-06 2 3.72759e-06 -0.458017 -1.04812 0
1e-06 2 3.72759e-06 -0.281604 -1.04812 0
1e-06 2 3.72759e-06 -0.0950125 -1.04812 0
1e-06 2 3.72759e-06 0.0950125 -1.04812 0
1e-06 2 3.72759e-06 0.281604 -1.04812 0
1e-06 2 3.72759e-06 0.458017 -1.04812 0
1e-06 2 3.72759e-06 0.617876 -1.04812 0
1e-06 2 3.72759e-06 0.755404 -1.04812 0
1e-06 2 3.72759e-06 0.865631 -1.04812 0
1e-06 2 3.72759e-06 0.944575 -1.04812 0
1e-06 2 3.72759e-06 0.989401 -1.04812 0
1e-06 2 5.77969e-06 -0.989401 -1.04812 0
1e-06 2 5.77969e-06 -0.944575 -1.04812 0
1e-06 2 5.77969e-06 -0.865631 -1.04812 0
1e-06 2 5.77969e-06 -0.755404 -1.04812 0
1e-06 2 5.77969e-06 -0.617876 -1.04812 0
1e-06 2 5.77969e-06 -0.458017 -1.04812 0
1e-06 2 5.77969e-06 -0.281604 -1.04812 0
1e-06 2 5.77969e-06 -0.0950125 -1.04812 0
1e-06 2 5.77969e-06 0.0950125 -1.04812 0
1e-06 2 5.77969e-06 0.281604 -1.04812 0
1e-06 2 5.77969e-06 0.458017 -1.04812 0
1e-06 2 5.77969e-06 0.617876 -1.04812 0
1e-06 2 5.77969e-06 0.755404 -1.04812 0
1e-06 2 5.77969e-06 0.865631 -1.04812 0
1e-06 2 5.77969e-06 0.944575 -1.04812 0
1e-06 2 5.77969e-06 0.989401 -1.04812 0
1e-06 2 8.96151e-06 -0.989401 -1.04812 0
1e-06 2 8.96151e-06 -0.944575 -1.04812 0
1e-06 2 8.96151e-06 -0.865631 -1.04812 0
1e-06 2 8.96151e-06 -0.755404 -1.04812 0
1e-06 2 8.96151e-06 -0.617876 -1.04812 0
1e-06 2 8.96151e-06 -0.458017 -1.04812 0
1e-06 2 8.96151e-06 -0.281604 -1.04812 0
1e-06 2 8.96151e-06 -0.0950125 -1.04812 0
1e-06 2 8.96151e-06 0.0950125 -1.04812 0
1e-06 2 8.96151e-06 0.281604 -1.04812 0
1e-06 2 8.96151e-06 0.458017 -1.04812 0
1e-06 2 8.96151e-06 0.617876 -1.04812 0
1e-06 2 8.96151e-06 0.755404 -1.04812 0
1e-06 2 8.96151e-06 0.865631 -1.04812 0
1e-06 2 8.96151e-06 0.944575 -1.04812 0
1e-06 2 8.96151e-06 0.989401 -1.04812 0
1e-06 2 1.3895e-05 -0.989401 -1.04812 0
1e-06 2 1.3895e-05 -0.944575 -1.04812 0
1e-06 2 1.3895e-05 -0.865631 -1.04812 0
1e-06 2 1.3895e-05 -0.755404 -1.04812 0
1e-06 2 1.3895e-05 -0.617876 -1.04812 0
1e-06 2 1.3895e-05 -0.458017 -1.04812 0
1e-06 2 1.3895e-05 -0.281604 -1.04812 0
1e-06 2 1.3895e-05 -0.0950125 -1.04812 0
1e-06 2 1.3895e-05 0.0950125 -1.04812 0
1e-06 2 1.3895e-05 0.281604 -1.04812 0
1e-06 2 1.3895e-05 0.458017 -1.04812 0
1e-06 2 1.3895e-05 0.617876 -1.04812 0
1e-06 2 1.3895e-05 0.755404 -1.04812 0
1e-06 2 1.3895e-05 0.865631 -1.04812 0
1e-06 2 1.3895e-05 0.944575 -1.04812 0
1e-06 2 1.3895e-05 0.989401 -1.04812 0
1e-06 2 2.15443e-05 -0.989401 -1.04812 0
1e-06 2 2.15443e-05 -0.944575 -1.04812 0
1e-06 2 2.15443e-05 -0.865631 -1.04812 0
1e-06 2 2.15443e-05 -0.755404 -1.04812 0
1e-06 2 2.15443e-05 -0.617876 -1.04812 0
1e-06 2 2.15443e-05 -0.458017 -1.04812 0
1e-06 2 2.15443e-05 -0.281604 -1.04812 0
1e-06 2 2.15443e-05 -0.0950125 -1.04812 0
1e-06 2 2.15443e-05 0.0950125 -1.04812 0
1e-06 2 2.15443e-05 0.281604 -1.04812 0
1e-06 2 2.15443e-05 0.458017 -1.04812 0
1e-06 2 2.15443e-05 0.617876 -1.04812 0
1e-06 2 2.15443e-05 0.755404 -1.04812 0
1e-06 2 2.15443e-05 0.865631 -1.04812 0
1e-06 2 2.15443e-05 0.944575 -1.04812 0
1e-06 2 2.15443e-05 0.989401 -1.04812 0
1e-06 2 3.34048e-05 -0.989401 -1.04812 0
1e-06 2 3.34048e-05 -0.944575 -1.04812 0
1e-06 2 3.34048e-05 -0.865631 -1.04812 0
1e-06 2 3.34048e-05 -0.755404 -1.04812 0
1e-06 2 3.34048e-05 -0.617876 -1.04812 0
1e-06 2 3.34048e-05 -0.458017 -1.04812 0
1e-06 2 3.34048e-05 -0.281604 -1.04812 0
1e-06 2 3.34048e-05 -0.0950125 -1.04812 0
1e-06 2 3.34048e-05 0.0950125 -1.04812 0
1e-06 2 3.34048e-05 0.281604 -1.04812 0
1e-06 2 3.34048e-05 0.458017 -1.04812 0
1e-06 2 3.34048e-05 0.617876 -1.04812 0
1e-06 2 3.34048e-05 0.755404 -1.04812 0
1e-06 2 3.34048e-05 0.865631 -1.04812 0
1e-06 2 3.34048e-05 0.944575 -1.04812 0
1e-06 2 3.34048e-05 0.989401 -1.04812 0
1e-06 2 5.17947e-05 -0.989401 -1.04812 0
1e-06 2 5.17947e-05 -0.944575 -1.04812 0
1e-06 2 5.17947e-05 -0.865631 -1.04812 0
1e-06 2 5.17947e-05 -0.755404 -1.04812 0
1e-06 2 5.17947e-05 -0.617876 -1.04812 0
1e-06 2 5.17947e-05 -0.458017 -1.04812 0
1e-06 2 5.17947e-05 -0.281604 -1.04812 0
1e-06 2 5.17947e-05 -0.0950125 -1.04812 0
1e-06 2 5.17947e-05 0.0950125 -1.04812 0
1e-06 2 5.17947e-05 0.281604 -1.04812 0
