#q_sq i k_sq z Re(fg) Im(fg)
1e-06 4 1e-06 -0.989401 18570.5 -0
1e-06 4 1e-06 -0.944575 18570.5 -0
1e-06 4 1e-06 -0.865631 18570.5 -0
1e-06 4 1e-06 -0.755404 18570.5 -0
1e-06 4 1e-06 -0.617876 18570.5 -0
1e-06 4 1e-06 -0.458017 18570.5 -0
1e-06 4 1e-06 -0.281604 18570.5 -0
1e-06 4 1e-06 -0.0950125 18570.5 -0
1e-06 4 1e-06 0.0950125 18570.5 -0
1e-06 4 1e-06 0.281604 18570.5 -0
1e-06 4 1e-06 0.458017 18570.5 -0
1e-06 4 1e-06 0.617876 18570.5 -0
1e-06 4 1e-06 0.755404 18570.5 -0
1e-06 4 1e-06 0.865631 18570.5 -0
1e-06 4 1e-06 0.944575 18570.5 -0
1e-06 4 1e-06 0.989401 18570.5 -0
1e-06 4 1.55052e-06 -0.989401 18570.5 -0
1e-06 4 1.55052e-06 -0.944575 18570.5 -0
1e-06 4 1.55052e-06 -0.865631 18570.5 -0
1e-06 4 1.55052e-06 -0.755404 18570.5 -0
1e-06 4 1.55052e-06 -0.617876 18570.5 -0
1e-06 4 1.55052e-06 -0.458017 18570.5 -0
1e-06 4 1.55052e-06 -0.281604 18570.5 -0
1e-06 4 1.55052e-06 -0.0950125 18570.5 -0
1e-06 4 1.55052e-06 0.0950125 18570.5 -0
1e-06 4 1.55052e-06 0.281604 18570.5 -0
1e-06 4 1.55052e-06 0.458017 18570.5 -0
1e-06 4 1.55052e-06 0.617876 18570.5 -0
1e-06 4 1.55052e-06 0.755404 18570.5 -0
1e-06 4 1.55052e-06 0.865631 18570.5 -0
1e-06 4 1.55052e-06 0.944575 18570.5 -0
1e-06 4 1.55052e-06 0.989401 18570.5 -0
1e-06 4 2.4041e-06 -0.989401 18570.5 -0
1e-06 4 2.4041e-06 -0.944575 18570.5 -0
1e-06 4 2.4041e-06 -0.865631 18570.5 -0
1e-06 4 2.4041e-06 -0.755404 18570.5 -0
1e-06 4 2.4041e-06 -0.617876 18570.5 -0
1e-06 4 2.4041e-06 -0.458017 18570.5 -0
1e-06 4 2.4041e-06 -0.281604 18570.5 -0
1e-06 4 2.4041e-06 -0.0950125 18570.5 -0
1e-06 4 2.4041e-06 0.0950125 18570.5 -0
1e-06 4 2.4041e-06 0.281604 18570.5 -0
1e-06 4 2.4041e-06 0.458017 18570.5 -0
1e-06 4 2.4041e-06 0.617876 18570.5 -0
1e-06 4 2.4041e-06 0.755404 18570.5 -0
1e-06 4 2.4041e-06 0.865631 18570.5 -0
1e-06 4 2.4041e-06 0.944575 18570.5 -0
1e-06 4 2.4041e-06 0.989401 18570.5 -0
1e-06 4 3.72759e-06 -0.989401 18570.5 -0
1e-06 4 3.72759e-06 -0.944575 18570.5 -0
1e-06 4 3.72759e-06 -0.865631 18570.5 -0
1e-06 4 3.72759e-06 -0.755404 18570.5 -0
1e-06 4 3.72759e-06 -0.617876 18570.5 -0
1e-06 4 3.72759e-06 -0.458017 18570.5 -0
1e-06 4 3.72759e-06 -0.281604 18570.5 -0
1e-06 4 3.72759e-06 -0.0950125 18570.5 -0
1e-06 4 3.72759e-06 0.0950125 18570.5 -0
1e-06 4 3.72759e-06 0.281604 18570.5 -0
1e-06 4 3.72759e-06 0.458017 18570.5 -0
1e-06 4 3.72759e-06 0.617876 18570.5 -0
1e-06 4 3.72759e-06 0.755404 18570.5 -0
1e-06 4 3.72759e-06 0.865631 18570.5 -0
1e-06 4 3.72759e-06 0.944575 18570.5 -0
1e-06 4 3.72759e-06 0.989401 18570.5 -0
1e-06 4 5.77969e-06 -0.989401 18570.4 -0
1e-06 4 5.77969e-06 -0.944575 18570.4 -0
1e-06 4 5.77969e-06 -0.865631 18570.5 -0
1e-06 4 5.77969e-06 -0.755404 18570.5 -0
1e-06 4 5.77969e-06 -0.617876 18570.5 -0
1e-06 4 5.77969e-06 -0.458017 18570.5 -0
1e-06 4 5.77969e-06 -0.281604 18570.5 -0
1e-06 4 5.77969e-06 -0.0950125 18570.5 -0
1e-06 4 5.77969e-06 0.0950125 18570.5 -0
1e-06 4 5.77969e-06 0.281604 18570.5 -0
1e-06 4 5.77969e-06 0.458017 18570.5 -0
1e-06 4 5.77969e-06 0.617876 18570.5 -0
1e-06 4 5.77969e-06 0.755404 18570.5 -0
1e-06 4 5.77969e-06 0.865631 18570.5 -0
1e-06 4 5.77969e-06 0.944575 18570.4 -0
1e-06 4 5.77969e-06 0.989401 18570.4 -0
1e-06 4 8.96151e-06 -0.989401 18570.4 -0
1e-06 4 8.96151e-06 -0.944575 18570.4 -0
1e-06 4 8.96151e-06 -0.865631 18570.4 -0
1e-06 4 8.96151e-06 -0.755404 18570.4 -0
