#q_sq i k_sq Re(fg) Im(fg)
1e-06 5 1e-06 -1.68238e+10 -0
1e-06 5 1.55052e-06 -1.08505e+10 -0
1e-06 5 2.4041e-06 -6.99797e+09 -0
1e-06 5 3.72759e-06 -4.51331e+09 -0
1e-06 5 5.77969e-06 -2.91084e+09 -0
1e-06 5 8.96151e-06 -1.87733e+09 -0
1e-06 5 1.3895e-05 -1.21077e+09 -0
1e-06 5 2.15443e-05 -7.8088e+08 -0
1e-06 5 3.34048e-05 -5.03621e+08 -0
1e-06 5 5.17947e-05 -3.24804e+08 -0
1e-06 5 8.03086e-05 -2.09476e+08 -0
1e-06 5 0.00012452 -1.35096e+08 -0
1e-06 5 0.00019307 -8.71248e+07 -0
1e-06 5 0.000299358 -5.61859e+07 -0
1e-06 5 0.000464159 -3.6232e+07 -0
1e-06 5 0.000719686 -2.33628e+07 -0
1e-06 5 0.00111588 -1.50629e+07 -0
1e-06 5 0.0017302 -9.70987e+06 -0
1e-06 5 0.0026827 -6.2575e+06 -0
1e-06 5 0.00415956 -4.03097e+06 -0
1e-06 5 0.00644947 -2.59505e+06 -0
1e-06 5 0.01 -1.66909e+06 -0
1e-06 5 0.0155052 -1.07209e+06 -0
1e-06 5 0.024041 -687343 -0
1e-06 5 0.0372759 -439626 -0
1e-06 5 0.0577969 -280455 -0
1e-06 5 0.0896151 -178587 -0
1e-06 5 0.13895 -113812 -0
1e-06 5 0.215443 -72857.3 -0
1e-06 5 0.334048 -46718.4 -0
1e-06 5 0.517947 -29137.2 -0
1e-06 5 0.803086 -16567.4 -0
1e-06 5 1.2452 -8510.95 -0
1e-06 5 1.9307 -3928.93 -0
1e-06 5 2.99358 -774.98 -0
1e-06 5 4.64159 383.837 -0
1e-06 5 7.19686 198.733 -0
1e-06 5 11.1588 497.446 -0
1e-06 5 17.302 119.682 -0
1e-06 5 26.827 -89.4395 -0
1e-06 5 41.5956 -63.4836 -0
1e-06 5 64.4947 -38.4181 -0
1e-06 5 100 -24.0941 -0
1e-06 5 155.052 -13.7308 -0
1e-06 5 240.41 -7.67439 -0
1e-06 5 372.759 -4.75607 -0
1e-06 5 577.969 -2.77395 -0
1e-06 5 896.151 -1.44639 -0
1e-06 5 1389.5 -0.817513 -0
1e-06 5 2154.43 -0.466057 -0
1e-06 5 3340.48 -0.255654 -0
1e-06 5 5179.47 -0.13392 -0
1e-06 5 8030.86 -0.063858 -0
1e-06 5 12452 -0.0308366 -0
1e-06 5 19307 -0.014438 -0
1e-06 5 29935.8 -0.00601673 -0
1e-06 5 46415.9 -0.00209389 -0
1e-06 5 71968.6 -0.000342015 -0
1e-06 5 111588 0.0003822 -0
1e-06 5 173020 0.000332828 -0
1e-06 5 268270 0.000305423 -0
1e-06 5 415956 0.00020657 -0
1e-06 5 644947 0.000115224 -0
1e-06 5 1e+06 1.95142e-05 -0

2.43835e-06 5 1e-06 -6.89967e+09 -0
2.43835e-06 5 1.55052e-06 -4.44991e+09 -0
2.43835e-06 5 2.4041e-06 -2.86996e+09 -0
2.43835e-06 5 3.72759e-06 -1.85097e+09 -0
2.43835e-06 5 5.77969e-06 -1.19377e+09 -0
2.43835e-06 5 8.96151e-06 -7.69918e+08 -0
2.43835e-06 5 1.3895e-05 -4.96554e+08 -0
2.43835e-06 5 2.15443e-05 -3.20249e+08 -0
2.43835e-06 5 3.34048e-05 -2.06541e+08 -0
2.43835e-06 5 5.17947e-05 -1.33206e+08 -0
2.43835e-06 5 8.03086e-05 -8.59088e+07 -0
2.43835e-06 5 0.00012452 -5.54046e+07 -0
2.43835e-06 5 0.00019307 -3.5731e+07 -0
2.43835e-06 5 0.000299358 -2.30426e+07 -0
2.43835e-06 5 0.000464159 -1.48592e+07 -0
2.43835e-06 5 0.000719686 -9.58138e+06 -0
2.43835e-06 5 0.00111588 -6.17747e+06 -0
2.43835e-06 5 0.0017302 -3.98214e+06 -0
2.43835e-06 5 0.0026827 -2.56628e+06 -0
2.43835e-06 5 0.00415956 -1.65315e+06 -0
2.43835e-06 5 0.00644947 -1.06426e+06 -0
2.43835e-06 5 0.01 -684516 -0
2.43835e-06 5 0.0155052 -439677 -0
2.43835e-06 5 0.024041 -281888 -0
2.43835e-06 5 0.0372759 -180296 -0
2.43835e-06 5 0.0577969 -115018 -0
2.43835e-06 5 0.0896151 -73240.7 -0
2.43835e-06 5 0.13895 -46675.7 -0
2.43835e-06 5 0.215443 -29879.6 -0
2.43835e-06 5 0.334048 -19159.7 -0
2.43835e-06 5 0.517947 -11949.5 -0
2.43835e-06 5 0.803086 -6794.46 -0
2.43835e-06 5 1.2452 -3490.43 -0
2.43835e-06 5 1.9307 -1611.3 -0
2.43835e-06 5 2.99358 -317.827 -0
2.43835e-06 5 4.64159 157.417 -0
2.43835e-06 5 7.19686 81.503 -0
2.43835e-06 5 11.1588 204.009 -0
2.43835e-06 5 17.302 49.0831 -0
2.43835e-06 5 26.827 -36.6803 -0
2.43835e-06 5 41.5956 -26.0354 -0
2.43835e-06 5 64.4947 -15.7557 -0
2.43835e-06 5 100 -9.8813 -0
2.43835e-06 5 155.052 -5.63116 -0
2.43835e-06 5 240.41 -3.14736 -0
2.43835e-06 5 372.759 -1.95053 -0
2.43835e-06 5 577.969 -1.13763 -0
2.43835e-06 5 896.151 -0.593184 -0
2.43835e-06 5 1389.5 -0.335273 -0
2.43835e-06 5 2154.43 -0.191136 -0
2.43835e-06 5 3340.48 -0.104847 -0
2.43835e-06 5 5179.47 -0.0549223 -0
2.43835e-06 5 8030.86 -0.026189 -0
2.43835e-06 5 12452 -0.0126465 -0
2.43835e-06 5 19307 -0.0059212 -0
2.43835e-06 5 29935.8 -0.00246754 -0
2.43835e-06 5 46415.9 -0.00085873 -0
2.43835e-06 5 71968.6 -0.000140265 -0
2.43835e-06 5 111588 0.000156745 -0
2.43835e-06 5 173020 0.000136497 -0
2.43835e-06 5 268270 0.000125258 -0
2.43835e-06 5 415956 8.4717e-05 -0
2.43835e-06 5 644947 4.72546e-05 -0
2.43835e-06 5 1e+06 8.00303e-06 -0

5.94557e-06 5 1e-06 -2.82964e+09 -0
5.94557e-06 5 1.55052e-06 -1.82497e+09 -0
5.94557e-06 5 2.4041e-06 -1.17701e+09 -0
5.94557e-06 5 3.72759e-06 -7.59105e+08 -0
5.94557e-06 5 5.77969e-06 -4.89581e+08 -0
5.94557e-06 5 8.96151e-06 -3.15753e+08 -0
5.94557e-06 5 1.3895e-05 -2.03643e+08 -0
5.94557e-06 5 2.15443e-05 -1.31338e+08 -0
5.94557e-06 5 3.34048e-05 -8.47052e+07 -0
5.94557e-06 5 5.17947e-05 -5.46295e+07 -0
5.94557e-06 5 8.03086e-05 -3.52323e+07 -0
5.94557e-06 5 0.00012452 -2.27221e+07 -0
5.94557e-06 5 0.00019307 -1.46537e+07 -0
5.94557e-06 5 0.000299358 -9.45005e+06 -0
5.94557e-06 5 0.000464159 -6.09395e+06 -0
5.94557e-06 5 0.000719686 -3.92945e+06 -0
5.94557e-06 5 0.00111588 -2.53346e+06 -0
5.94557e-06 5 0.0017302 -1.63313e+06 -0
5.94557e-06 5 0.0026827 -1.05247e+06 -0
5.94557e-06 5 0.00415956 -677979 -0
5.94557e-06 5 0.00644947 -436469 -0
5.94557e-06 5 0.01 -280729 -0
5.94557e-06 5 0.0155052 -180317 -0
5.94557e-06 5 0.024041 -115606 -0
5.94557e-06 5 0.0372759 -73941.5 -0
5.94557e-06 5 0.0577969 -47170.2 -0
5.94557e-06 5 0.0896151 -30036.8 -0
5.94557e-06 5 0.13895 -19142.1 -0
5.94557e-06 5 0.215443 -12253.9 -0
5.94557e-06 5 0.334048 -7857.52 -0
5.94557e-06 5 0.517947 -4900.55 -0
5.94557e-06 5 0.803086 -2786.45 -0
5.94557e-06 5 1.2452 -1431.45 -0
5.94557e-06 5 1.9307 -660.805 -0
5.94557e-06 5 2.99358 -130.343 -0
5.94557e-06 5 4.64159 64.5594 -0
5.94557e-06 5 7.19686 33.4256 -0
