#q_sq i k_sq z Re(w) Im(w)
1e-06 1 1e-06 -0.989401 0.201618 0
1e-06 1 1e-06 -0.944575 0.201618 0
1e-06 1 1e-06 -0.865631 0.201618 0
1e-06 1 1e-06 -0.755404 0.201618 0
1e-06 1 1e-06 -0.617876 0.201618 0
1e-06 1 1e-06 -0.458017 0.201618 0
1e-06 1 1e-06 -0.281604 0.201618 0
1e-06 1 1e-06 -0.0950125 0.201618 0
1e-06 1 1e-06 0.0950125 0.201618 0
1e-06 1 1e-06 0.281604 0.201618 0
1e-06 1 1e-06 0.458017 0.201618 0
1e-06 1 1e-06 0.617876 0.201618 0
1e-06 1 1e-06 0.755404 0.201618 0
1e-06 1 1e-06 0.865631 0.201618 0
1e-06 1 1e-06 0.944575 0.201618 0
1e-06 1 1e-06 0.989401 0.201618 0
1e-06 1 1.55052e-06 -0.989401 0.201616 0
1e-06 1 1.55052e-06 -0.944575 0.201616 0
1e-06 1 1.55052e-06 -0.865631 0.201616 0
1e-06 1 1.55052e-06 -0.755404 0.201616 0
1e-06 1 1.55052e-06 -0.617876 0.201616 0
1e-06 1 1.55052e-06 -0.458017 0.201616 0
1e-06 1 1.55052e-06 -0.281604 0.201616 0
1e-06 1 1.55052e-06 -0.0950125 0.201616 0
1e-06 1 1.55052e-06 0.0950125 0.201616 0
1e-06 1 1.55052e-06 0.281604 0.201616 0
1e-06 1 1.55052e-06 0.458017 0.201616 0
1e-06 1 1.55052e-06 0.617876 0.201616 0
1e-06 1 1.55052e-06 0.755404 0.201616 0
1e-06 1 1.55052e-06 0.865631 0.201616 0
1e-06 1 1.55052e-06 0.944575 0.201616 0
1e-06 1 1.55052e-06 0.989401 0.201616 0
1e-06 1 2.4041e-06 -0.989401 0.201613 0
1e-06 1 2.4041e-06 -0.944575 0.201613 0
1e-06 1 2.4041e-06 -0.865631 0.201613 0
1e-06 1 2.4041e-06 -0.755404 0.201613 0
1e-06 1 2.4041e-06 -0.617876 0.201613 0
1e-06 1 2.4041e-06 -0.458017 0.201613 0
1e-06 1 2.4041e-06 -0.281604 0.201613 0
1e-06 1 2.4041e-06 -0.0950125 0.201613 0
1e-06 1 2.4041e-06 0.0950125 0.201613 0
1e-06 1 2.4041e-06 0.281604 0.201613 0
1e-06 1 2.4041e-06 0.458017 0.201613 0
1e-06 1 2.4041e-06 0.617876 0.201613 0
1e-06 1 2.4041e-06 0.755404 0.201613 0
1e-06 1 2.4041e-06 0.865631 0.201613 0
1e-06 1 2.4041e-06 0.944575 0.201613 0
1e-06 1 2.4041e-06 0.989401 0.201613 0
1e-06 1 3.72759e-06 -0.989401 0.201608 0
1e-06 1 3.72759e-06 -0.944575 0.201608 0
1e-06 1 3.72759e-06 -0.865631 0.201608 0
1e-06 1 3.72759e-06 -0.755404 0.201608 0
1e-06 1 3.72759e-06 -0.617876 0.201608 0
1e-06 1 3.72759e-06 -0.458017 0.201608 0
1e-06 1 3.72759e-06 -0.281604 0.201608 0
1e-06 1 3.72759e-06 -0.0950125 0.201608 0
1e-06 1 3.72759e-06 0.0950125 0.201608 0
1e-06 1 3.72759e-06 0.281604 0.201608 0
1e-06 1 3.72759e-06 0.458017 0.201608 0
1e-06 1 3.72759e-06 0.617876 0.201608 0
1e-06 1 3.72759e-06 0.755404 0.201608 0
1e-06 1 3.72759e-06 0.865631 0.201608 0
1e-06 1 3.72759e-06 0.944575 0.201608 0
1e-06 1 3.72759e-06 0.989401 0.201608 0
1e-06 1 5.77969e-06 -0.989401 0.201601 0
1e-06 1 5.77969e-06 -0.944575 0.201601 0
1e-06 1 5.77969e-06 -0.865631 0.201601 0
1e-06 1 5.77969e-06 -0.755404 0.201601 0
1e-06 1 5.77969e-06 -0.617876 0.201601 0
1e-06 1 5.77969e-06 -0.458017 0.201601 0
1e-06 1 5.77969e-06 -0.281604 0.201601 0
1e-06 1 5.77969e-06 -0.0950125 0.201601 0
1e-06 1 5.77969e-06 0.0950125 0.201601 0
1e-06 1 5.77969e-06 0.281604 0.201601 0
1e-06 1 5.77969e-06 0.458017 0.201601 0
1e-06 1 5.77969e-06 0.617876 0.201601 0
1e-06 1 5.77969e-06 0.755404 0.201601 0
1e-06 1 5.77969e-06 0.865631 0.201601 0
1e-06 1 5.77969e-06 0.944575 0.201601 0
1e-06 1 5.77969e-06 0.989401 0.201601 0
1e-06 1 8.96151e-06 -0.989401 0.201591 0
1e-06 1 8.96151e-06 -0.944575 0.201591 0
1e-06 1 8.96151e-06 -0.865631 0.201591 0
1e-06 1 8.96151e-06 -0.755404 0.201591 0
1e-06 1 8.96151e-06 -0.617876 0.201591 0
1e-06 1 8.96151e-06 -0.458017 0.201591 0
1e-06 1 8.96151e-06 -0.281604 0.201591 0
1e-06 1 8.96151e-06 -0.0950125 0.201591 0
1e-06 1 8.96151e-06 0.0950125 0.201591 0
1e-06 1 8.96151e-06 0.281604 0.201591 0
1e-06 1 8.96151e-06 0.458017 0.201591 0
1e-06 1 8.96151e-06 0.617876 0.201591 0
1e-06 1 8.96151e-06 0.755404 0.201591 0
1e-06 1 8.96151e-06 0.865631 0.201591 0
1e-06 1 8.96151e-06 0.944575 0.201591 0
1e-06 1 8.96151e-06 0.989401 0.201591 0
1e-06 1 1.3895e-05 -0.989401 0.201574 0
1e-06 1 1.3895e-05 -0.944575 0.201574 0
1e-06 1 1.3895e-05 -0.865631 0.201574 0
1e-06 1 1.3895e-05 -0.755404 0.201574 0
1e-06 1 1.3895e-05 -0.617876 0.201574 0
1e-06 1 1.3895e-05 -0.458017 0.201574 0
1e-06 1 1.3895e-05 -0.281604 0.201574 0
1e-06 1 1.3895e-05 -0.0950125 0.201574 0
1e-06 1 1.3895e-05 0.0950125 0.201574 0
1e-06 1 1.3895e-05 0.281604 0.201574 0
1e-06 1 1.3895e-05 0.458017 0.201574 0
1e-06 1 1.3895e-05 0.617876 0.201574 0
1e-06 1 1.3895e-05 0.755404 0.201574 0
