#q_sq i k_sq Re(w) Im(w)
1e-06 0 1e-06 1.59281 0
1e-06 0 1.55052e-06 1.59281 0
1e-06 0 2.4041e-06 1.59281 0
1e-06 0 3.72759e-06 1.59281 0
1e-06 0 5.77969e-06 1.59281 0
1e-06 0 8.96151e-06 1.59281 0
1e-06 0 1.3895e-05 1.59281 0
1e-06 0 2.15443e-05 1.59281 0
1e-06 0 3.34048e-05 1.59282 0
1e-06 0 5.17947e-05 1.59282 0
1e-06 0 8.03086e-05 1.59282 0
1e-06 0 0.00012452 1.59283 0
1e-06 0 0.00019307 1.59285 0
1e-06 0 0.000299358 1.59287 0
1e-06 0 0.000464159 1.5929 0
1e-06 0 0.000719686 1.59295 0
1e-06 0 0.00111588 1.59303 0
1e-06 0 0.0017302 1.59315 0
1e-06 0 0.0026827 1.59334 0
1e-06 0 0.00415956 1.59362 0
1e-06 0 0.00644947 1.59404 0
1e-06 0 0.01 1.59466 0
1e-06 0 0.0155052 1.59554 0
1e-06 0 0.024041 1.59673 0
1e-06 0 0.0372759 1.59815 0
1e-06 0 0.0577969 1.59945 0
1e-06 0 0.0896151 1.59959 0
1e-06 0 0.13895 1.59623 0
1e-06 0 0.215443 1.58523 0
1e-06 0 0.334048 1.56118 0
1e-06 0 0.517947 1.52044 0
1e-06 0 0.803086 1.46499 0
1e-06 0 1.2452 1.40133 0
1e-06 0 1.9307 1.33417 0
1e-06 0 2.99358 1.26482 0
1e-06 0 4.64159 1.19496 0
1e-06 0 7.19686 1.12972 0
1e-06 0 11.1588 1.07741 0
1e-06 0 17.302 1.04413 0
1e-06 0 26.827 1.02729 0
1e-06 0 41.5956 1.01842 0
1e-06 0 64.4947 1.01204 0
1e-06 0 100 1.00679 0
1e-06 0 155.052 1.00237 0
1e-06 0 240.41 0.998592 0
1e-06 0 372.759 0.995333 0
1e-06 0 577.969 0.99249 0
1e-06 0 896.151 0.989988 0
1e-06 0 1389.5 0.987768 0
1e-06 0 2154.43 0.985783 0
1e-06 0 3340.48 0.983999 0
1e-06 0 5179.47 0.982386 0
1e-06 0 8030.86 0.98092 0
1e-06 0 12452 0.979581 0
1e-06 0 19307 0.978354 0
1e-06 0 29935.8 0.977224 0
1e-06 0 46415.9 0.976182 0
1e-06 0 71968.6 0.975216 0
1e-06 0 111588 0.97432 0
1e-06 0 173020 0.973485 0
1e-06 0 268270 0.972705 0
1e-06 0 415956 0.971975 0
1e-06 0 644947 0.971291 0
1e-06 0 1e+06 0.970649 0

2.43835e-06 0 1e-06 1.59281 0
2.43835e-06 0 1.55052e-06 1.59281 0
2.43835e-06 0 2.4041e-06 1.59281 0
2.43835e-06 0 3.72759e-06 1.59281 0
2.43835e-06 0 5.77969e-06 1.59281 0
2.43835e-06 0 8.96151e-06 1.59281 0
2.43835e-06 0 1.3895e-05 1.59281 0
2.43835e-06 0 2.15443e-05 1.59281 0
2.43835e-06 0 3.34048e-05 1.59282 0
2.43835e-06 0 5.17947e-05 1.59282 0
2.43835e-06 0 8.03086e-05 1.59282 0
2.43835e-06 0 0.00012452 1.59283 0
2.43835e-06 0 0.00019307 1.59285 0
2.43835e-06 0 0.000299358 1.59287 0
2.43835e-06 0 0.000464159 1.5929 0
2.43835e-06 0 0.000719686 1.59295 0
2.43835e-06 0 0.00111588 1.59303 0
2.43835e-06 0 0.0017302 1.59315 0
2.43835e-06 0 0.0026827 1.59334 0
2.43835e-06 0 0.00415956 1.59362 0
2.43835e-06 0 0.00644947 1.59404 0
2.43835e-06 0 0.01 1.59466 0
2.43835e-06 0 0.0155052 1.59554 0
2.43835e-06 0 0.024041 1.59673 0
2.43835e-06 0 0.0372759 1.59815 0
2.43835e-06 0 0.0577969 1.59945 0
2.43835e-06 0 0.0896151 1.59959 0
2.43835e-06 0 0.13895 1.59623 0
2.43835e-06 0 0.215443 1.58523 0
2.43835e-06 0 0.334048 1.56118 0
2.43835e-06 0 0.517947 1.52044 0
2.43835e-06 0 0.803086 1.46499 0
2.43835e-06 0 1.2452 1.40133 0
2.43835e-06 0 1.9307 1.33417 0
2.43835e-06 0 2.99358 1.26482 0
2.43835e-06 0 4.64159 1.19496 0
2.43835e-06 0 7.19686 1.12972 0
2.43835e-06 0 11.1588 1.07741 0
2.43835e-06 0 17.302 1.04413 0
2.43835e-06 0 26.827 1.02729 0
2.43835e-06 0 41.5956 1.01842 0
2.43835e-06 0 64.4947 1.01204 0
2.43835e-06 0 100 1.00679 0
2.43835e-06 0 155.052 1.00237 0
2.43835e-06 0 240.41 0.998592 0
2.43835e-06 0 372.759 0.995333 0
2.43835e-06 0 577.969 0.99249 0
2.43835e-06 0 896.151 0.989988 0
2.43835e-06 0 1389.5 0.987768 0
2.43835e-06 0 2154.43 0.985783 0
